GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,challenge.tech.domain.orderItem,OrderItem,0,26,0,0,0,8,0,6,0,6
order-service,challenge.tech.client.dto,StockDto,3,21,0,0,1,4,1,6,1,6
order-service,challenge.tech.client.dto,PaymentRequest,9,15,0,0,3,2,3,4,3,4
order-service,challenge.tech.client.dto,UpdateStockParameter,0,17,0,0,0,4,0,5,0,5
order-service,challenge.tech.client.dto,PaymentResponse,18,15,0,0,3,2,5,2,5,2
order-service,challenge.tech.dto.paremeter,CreateOrderParameter,0,52,0,0,0,13,0,6,0,6
order-service,challenge.tech.dto.paremeter,OrderItemParameter,9,17,0,0,1,4,1,5,1,5
order-service,challenge.tech.listener,OrderReceiverListener,0,25,0,0,0,7,0,2,0,2
order-service,challenge.tech,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
order-service,challenge.tech.enums,PaymentStatus,0,21,0,0,0,4,0,1,0,1
order-service,challenge.tech.enums,OrderStatus,0,33,0,0,0,2,0,1,0,1
order-service,challenge.tech.controller,PaymentWebhookController,0,18,0,0,0,3,0,2,0,2
order-service,challenge.tech.controller,OrderController,0,64,0,0,0,9,0,5,0,5
order-service,challenge.tech.gateway.database.jpa.entity,OrderEntity,0,130,0,4,0,32,0,20,0,18
order-service,challenge.tech.usecase,UpdatePaymentUseCase,0,11,0,0,0,2,0,2,0,2
order-service,challenge.tech.usecase,ProcessOrderUseCase,31,213,0,4,8,45,2,13,2,11
order-service,challenge.tech.usecase,DeleteUseCase,0,11,0,0,0,3,0,2,0,2
order-service,challenge.tech.usecase,CreateUseCase,0,11,0,0,0,2,0,2,0,2
order-service,challenge.tech.usecase,FindAllUseCase,0,15,0,0,0,5,0,2,0,2
order-service,challenge.tech.usecase,UpdateOrderStatusFromWebhookUseCase,0,88,0,10,0,24,0,10,0,5
order-service,challenge.tech.usecase,FindByIdUseCase,0,24,0,2,0,5,0,3,0,2
order-service,challenge.tech.dto.presenter,Product,21,17,0,0,3,4,6,5,6,5
order-service,challenge.tech.dto.presenter,OrderResponse,107,48,0,0,17,15,11,8,11,8
order-service,challenge.tech.dto.presenter,ProductOrderDetails,0,43,0,0,0,6,0,9,0,9
order-service,challenge.tech.gateway.database,OrderJpaGateway,0,39,0,0,0,8,0,5,0,5
order-service,challenge.tech.dto.webhook,PaymentWebhookRequest,0,24,0,0,0,5,0,7,0,7
order-service,challenge.tech.domain,Order,0,52,0,0,0,9,0,15,0,15
